id	dialog	joy	sadness	trust	disgust	fear	anger	surprise	anticipation
0	Yes, me. Okay, okay here we go.	1	0	1	0	0	0	0	0
1	Okay, so filled out all these forms  --	1	0	0	0	0	0	1	0
2	This is... Your last- Your first name is Jones?	0	0	0	0	0	0	0	0
3	Well...	1	0	0	0	0	0	0	1
4	What are you... what's...What are you applying for?	0	0	0	0	0	0	0	0
5	I'm just applying for another ID.	0	0	0	0	0	0	0	0
6	Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...	0	1	0	1	1	0	0	0
7	I have it right here, yes.	1	0	0	0	0	0	1	0
8	No, I need your ID to give you a second ID.	0	0	0	0	0	0	0	0
9	It's really simple if you have a problem with it... Maybe you should--	0	0	0	0	1	1	0	0
10	But that's...	0	0	0	0	0	0	0	0
11	Well, do you have your passport?	1	0	0	0	0	0	0	1
12	You have a birth certificate?	1	0	0	0	0	0	0	0
13	Probably.	0	0	0	0	0	0	0	0
14	You're very helpful.  What's your name?	1	0	0	0	0	0	1	0
15	Joy.	1	0	0	0	0	0	0	0
16	Hi, Joy.	1	0	0	0	0	0	0	0
17	Hi.   You know...	0	0	0	0	0	0	0	0
18	Okay. [BREATHING]	1	0	0	0	0	0	0	1
19	I need California ID.	0	0	0	0	0	0	0	0
20	Okay.	1	0	1	0	0	0	0	0
21	On top of these other two forms of ID which I already have.	1	0	0	0	0	0	1	0
22	What... well, do you have a driver's license?	1	0	1	0	0	0	0	0
23	No, I don't have driver's license.	0	0	0	1	0	1	0	0
24	Then how am I supposed to give you a California ID?	0	1	0	1	1	0	0	0
25	Did you even look at the form?  I filled it out all these questions--	1	0	1	0	0	0	0	0
26	Don't raise your voice with me.	1	0	1	0	0	0	0	0
27	Okay.	1	0	1	0	0	0	0	0
28	I have been to California my whole--	0	0	0	0	0	0	0	0
29	Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.	0	1	0	0	1	0	0	0
30	I am not...I'm not getting to back that line.	0	0	0	0	0	0	0	0
31	Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.	1	0	1	0	0	0	0	0
32	I'm perfectly calm.	1	0	1	0	0	0	1	0
33	I did not come in here to get in a yelling match with you, all right?	1	0	1	0	0	0	0	0
34	Just try and help me.	0	1	0	0	1	0	1	0
35	Why?	0	0	0	0	0	1	0	0
36	Why?	0	0	0	0	0	1	0	0
37	Yeah.	1	0	1	0	0	0	0	0
38	So you're not going to send me a thank you card, is that a problem? Is your are not going...	1	0	1	0	0	0	0	0
39	Why, because I'm sick of talking to you.	0	1	0	1	1	1	0	0
40	'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.	0	0	0	0	0	0	0	0
41	Oh, dear. Oh, boo-foo-woo, foo-foo.	0	1	0	0	1	0	0	0
42	Sit back down.	0	0	0	1	1	1	1	0
43	Hey, Joy come in here.	1	0	0	0	0	0	0	0
44	What's happening?	0	0	0	1	1	1	1	0
45	I have to go back.	1	0	0	0	0	0	1	0
46	I just got a letter I have to go back.	1	0	0	0	0	0	1	0
47	When?	0	0	0	0	0	0	0	0
48	First thing tomorrow morning.	0	0	0	0	0	0	0	0
49	Are you kidding me?	1	0	0	0	0	0	1	1
50	I don't understand, I don't underst--	1	0	1	0	0	0	0	1
51	How can they do that?	0	0	0	0	0	0	0	0
52	They can do it.	1	0	1	0	0	0	0	0
